"pro","city","value"
"湖北省","武汉",13603
"湖北省","孝感",2313
"湖北省","黄冈",2041
"湖北省","随州",953
"湖北省","荆州",941
"湖北省","襄阳",907
"湖北省","黄石",703
"湖北省","宜昌",633
"湖北省","荆门",588
"湖北省","鄂州",569
"湖北省","咸宁",476
"湖北省","十堰",438
"湖北省","仙桃",359
"湖北省","天门",179
"湖北省","恩施州",160
"湖北省","潜江",80
"湖北省","神农架林区",10
"浙江省","温州",438
"浙江省","杭州",162
"浙江省","宁波",141
"浙江省","台州",133
"浙江省","金华",52
"浙江省","嘉兴",37
"浙江省","绍兴",36
"浙江省","丽水",17
"浙江省","衢州",15
"浙江省","湖州",10
"浙江省","舟山",7
"广东省","深圳",339
"广东省","广州",285
"广东省","珠海",76
"广东省","佛山",59
"广东省","东莞",53
"广东省","中山",46
"广东省","惠州",39
"广东省","汕头",22
"广东省","湛江",20
"广东省","肇庆",14
"广东省","江门",14
"广东省","阳江",13
"广东省","梅州",12
"广东省","清远",10
"广东省","揭阳",7
"广东省","韶关",6
"广东省","茂名",6
"广东省","汕尾",5
"广东省","潮州",5
"广东省","河源",3
"河南省","信阳",176
"河南省","南阳",118
"河南省","郑州",112
"河南省","驻马店",106
"河南省","商丘",72
"河南省","周口",60
"河南省","平顶山",46
"河南省","新乡",41
"河南省","安阳",40
"河南省","许昌",28
"河南省","漯河",26
"河南省","洛阳",24
"河南省","开封",20
"河南省","焦作",18
"河南省","鹤壁",11
"河南省","三门峡",7
"河南省","濮阳",5
"河南省","济源",4
"河南省","待明确地区",0
"湖南省","长沙",190
"湖南省","岳阳",107
"湖南省","邵阳",83
"湖南省","常德",64
"湖南省","娄底",53
"湖南省","株洲",46
"湖南省","衡阳",43
"湖南省","益阳",43
"湖南省","永州",38
"湖南省","怀化",38
"湖南省","郴州",29
"湖南省","湘潭",25
"湖南省","湘西自治州",8
"湖南省","张家界",5
"安徽省","合肥",128
"安徽省","阜阳",113
"安徽省","蚌埠",99
"安徽省","亳州",81
"安徽省","安庆",71
"安徽省","六安",51
"安徽省","马鞍山",31
"安徽省","芜湖",29
"安徽省","宿州",28
"安徽省","铜陵",23
"安徽省","淮北",22
"安徽省","淮南",21
"安徽省","滁州",11
"安徽省","池州",11
"安徽省","黄山",9
"安徽省","宣城",5
"江西省","南昌",168
"江西省","九江",97
"江西省","新余",95
"江西省","上饶",92
"江西省","宜春",67
"江西省","赣州",64
"江西省","抚州",59
"江西省","萍乡",24
"江西省","吉安",17
"江西省","鹰潭",11
"江西省","景德镇",4
"江苏省","苏州",72
"江苏省","南京",65
"江苏省","徐州",52
"江苏省","淮安",40
"江苏省","无锡",34
"江苏省","南通",31
"江苏省","常州",31
"江苏省","泰州",30
"江苏省","连云港",27
"江苏省","扬州",17
"江苏省","盐城",17
"江苏省","宿迁",12
"江苏省","镇江",11
"重庆市","万州区",78
"重庆市","江北区",20
"重庆市","云阳县",20
"重庆市","九龙坡区",19
"重庆市","渝中区",19
"重庆市","开州区",18
"重庆市","垫江县",18
"重庆市","合川区",16
"重庆市","忠县",16
"重庆市","两江新区",16
"重庆市","綦江区",15
"重庆市","潼南区",13
"重庆市","奉节县",13
"重庆市","渝北区",12
"重庆市","长寿区",12
"重庆市","石柱县",12
"重庆市","巫溪县",11
"重庆市","大足区",10
"重庆市","丰都县",9
"重庆市","璧山区",8
"重庆市","巫山县",8
"重庆市","南岸区",8
"重庆市","荣昌区",8
"重庆市","大渡口区",7
"重庆市","铜梁区",7
"重庆市","江津区",4
"重庆市","梁平区",4
"重庆市","高新区",4
"重庆市","涪陵区",3
"重庆市","巴南区",3
"重庆市","永川区",3
"重庆市","城口县",2
"重庆市","黔江区",2
"重庆市","沙坪坝区",2
"重庆市","彭水县",2
"重庆市","秀山县",1
"重庆市","武隆区",1
"重庆市","酉阳县",1
"重庆市","万盛经开区",1
"山东省","青岛",46
"山东省","济南",42
"山东省","临沂",38
"山东省","济宁",38
"山东省","烟台",34
"山东省","威海",32
"山东省","潍坊",29
