"pro","city","value"
"湖北省","武汉",11618
"湖北省","孝感",2141
"湖北省","黄冈",1897
"湖北省","随州",915
"湖北省","荆州",885
"湖北省","襄阳",838
"湖北省","黄石",635
"湖北省","宜昌",610
"湖北省","荆门",553
"湖北省","鄂州",471
"湖北省","咸宁",443
"湖北省","十堰",395
"湖北省","仙桃",307
"湖北省","天门",163
"湖北省","恩施州",157
"湖北省","潜江",74
"湖北省","神农架林区",10
"广东省","深圳",316
"广东省","广州",270
"广东省","珠海",73
"广东省","佛山",57
"广东省","东莞",47
"广东省","中山",44
"广东省","惠州",35
"广东省","汕头",21
"广东省","湛江",19
"广东省","肇庆",14
"广东省","阳江",13
"广东省","梅州",12
"广东省","清远",10
"广东省","江门",9
"广东省","揭阳",7
"广东省","韶关",6
"广东省","茂名",6
"广东省","汕尾",5
"广东省","潮州",5
"广东省","河源",1
"浙江省","温州",396
"浙江省","杭州",151
"浙江省","宁波",126
"浙江省","台州",124
"浙江省","金华",47
"浙江省","绍兴",33
"浙江省","嘉兴",30
"浙江省","丽水",16
"浙江省","衢州",15
"浙江省","湖州",9
"浙江省","舟山",7
"河南省","信阳",164
"河南省","南阳",111
"河南省","郑州",102
"河南省","驻马店",98
"河南省","商丘",65
"河南省","周口",59
"河南省","平顶山",41
"河南省","新乡",41
"河南省","安阳",37
"河南省","漯河",26
"河南省","许昌",26
"河南省","洛阳",21
"河南省","开封",18
"河南省","焦作",17
"河南省","鹤壁",10
"河南省","三门峡",7
"河南省","濮阳",5
"河南省","济源",3
"河南省","待明确地区",0
"湖南省","长沙",179
"湖南省","岳阳",93
"湖南省","邵阳",74
"湖南省","常德",62
"湖南省","娄底",51
"湖南省","衡阳",43
"湖南省","株洲",41
"湖南省","益阳",41
"湖南省","怀化",36
"湖南省","永州",32
"湖南省","郴州",25
"湖南省","湘潭",24
"湖南省","湘西自治州",7
"湖南省","张家界",3
"安徽省","合肥",115
"安徽省","阜阳",105
"安徽省","蚌埠",88
"安徽省","亳州",72
"安徽省","安庆",66
"安徽省","六安",41
"安徽省","马鞍山",30
"安徽省","芜湖",27
"安徽省","宿州",27
"安徽省","铜陵",22
