"pro","city","value"
"湖北省","武汉",16902
"湖北省","孝感",2541
"湖北省","黄冈",2252
"湖北省","随州",1049
"湖北省","荆州",1045
"湖北省","襄阳",1019
"湖北省","黄石",805
"湖北省","宜昌",749
"湖北省","鄂州",725
"湖北省","荆门",641
"湖北省","咸宁",507
"湖北省","十堰",481
"湖北省","仙桃",416
"湖北省","天门",217
"湖北省","恩施州",187
"湖北省","潜江",85
"湖北省","神农架林区",10
"广东省","深圳",368
"广东省","广州",313
"广东省","珠海",85
"广东省","佛山",68
"广东省","东莞",60
"广东省","中山",56
"广东省","惠州",50
"广东省","汕头",25
"广东省","湛江",21
"广东省","江门",19
"广东省","肇庆",14
"广东省","阳江",13
"广东省","梅州",13
"广东省","清远",10
"广东省","茂名",10
"广东省","揭阳",7
"广东省","韶关",6
"广东省","汕尾",5
"广东省","潮州",5
"广东省","河源",3
"广东省","待明确地区",0
"浙江省","温州",464
"浙江省","杭州",155
"浙江省","宁波",149
"浙江省","台州",141
"浙江省","金华",53
"浙江省","绍兴",41
"浙江省","嘉兴",40
"浙江省","丽水",17
"浙江省","衢州",15
"浙江省","湖州",10
"浙江省","舟山",7
"河南省","信阳",220
"河南省","南阳",134
"河南省","郑州",130
"河南省","驻马店",123
"河南省","商丘",83
"河南省","周口",65
"河南省","平顶山",52
"河南省","新乡",46
"河南省","安阳",45
"河南省","许昌",31
"河南省","漯河",30
"河南省","洛阳",27
"河南省","焦作",25
"河南省","开封",24
"河南省","鹤壁",17
"河南省","濮阳",10
"河南省","三门峡",7
"河南省","济源",4
"河南省","待明确地区",0
"湖南省","长沙",213
"湖南省","岳阳",124
"湖南省","邵阳",89
"湖南省","常德",72
"湖南省","娄底",66
"湖南省","株洲",61
"湖南省","益阳",53
"湖南省","衡阳",45
"湖南省","永州",41
"湖南省","怀化",39
"湖南省","郴州",32
"湖南省","湘潭",31
"湖南省","湘西自治州",8
"湖南省","张家界",5
"安徽省","合肥",147
"安徽省","蚌埠",126
"安徽省","阜阳",125
"安徽省","亳州",92
"安徽省","安庆",78
"安徽省","六安",57
"安徽省","马鞍山",31
"安徽省","宿州",31
"安徽省","芜湖",30
"安徽省","铜陵",25
"安徽省","淮北",23
"安徽省","淮南",23
"安徽省","池州",15
"安徽省","滁州",12
"安徽省","黄山",9
"安徽省","宣城",6
"江西省","南昌",189
"江西省","新余",105
"江西省","上饶",103
"江西省","九江",101
"江西省","宜春",77
"江西省","赣州",71
"江西省","抚州",64
"江西省","萍乡",25
"江西省","吉安",18
"江西省","鹰潭",12
"江西省","景德镇",5
"江西省","赣江新区",1
"江苏省","南京",78
"江苏省","苏州",77
"江苏省","徐州",60
"江苏省","淮安",46
"江苏省","无锡",41
"江苏省","连云港",35
"江苏省","南通",33
"江苏省","常州",31
"江苏省","泰州",31
"江苏省","扬州",18
"江苏省","盐城",18
"江苏省","镇江",12
"江苏省","宿迁",12
"重庆市","万州区",97
"重庆市","江北区",24
"重庆市","九龙坡区",20
"重庆市","垫江县",20
"重庆市","云阳县",20
"重庆市","渝中区",20
"重庆市","合川区",18
"重庆市","开州区",18
"重庆市","忠县",18
"重庆市","两江新区",16
"重庆市","长寿区",15
"重庆市","綦江区",15
"重庆市","奉节县",14
"重庆市","渝北区",13
"重庆市","潼南区",13
"重庆市","巫溪县",12
"重庆市","石柱县",12
"重庆市","大足区",11
"重庆市","丰都县",9
"重庆市","巫山县",9
"重庆市","璧山区",8
"重庆市","铜梁区",8
"重庆市","南岸区",8
"重庆市","荣昌区",8
"重庆市","大渡口区",7
"重庆市","永川区",5
"重庆市","江津区",4
"重庆市","梁平区",4
"重庆市","高新区",4
"重庆市","涪陵区",3
"重庆市","巴南区",3
"重庆市","城口县",2
"重庆市","黔江区",2
"重庆市","沙坪坝区",2
"重庆市","彭水县",2
"重庆市","秀山县",1
"重庆市","武隆区",1
"重庆市","酉阳县",1
"重庆市","万盛经开区",1
"山东省","青岛",52
"山东省","济南",44
"山东省","临沂",42
"山东省","烟台",39
"山东省","济宁",39
"山东省","潍坊",37
"山东省","威海",35
"山东省","聊城",34
"山东省","德州",32
"山东省","泰安",26
"山东省","枣庄",21
"山东省","菏泽",16
"山东省","淄博",16
"山东省","日照",15
"山东省","滨州",11
"四川省","成都",123
"四川省","南充",33
"四川省","广安",28
"四川省","达州",28
"四川省","甘孜州",23
"四川省","巴中",22
"四川省","绵阳",21
"四川省","泸州",17
"四川省","内江",17
"四川省","德阳",16
"四川省","攀枝花",13
"四川省","遂宁",10
"四川省","凉山州",10
"四川省","自贡",9
"四川省","宜宾",9
"四川省","眉山",7
"四川省","雅安",6
"四川省","广元",6
"四川省","乐山",3
"四川省","资阳",3
"四川省","阿坝州",1
"北京市","朝阳区",56
"北京市","海淀区",54
"北京市","西城区",39
"北京市","大兴区",36
"北京市","丰台区",30
"北京市","外地来京人员",25
"北京市","昌平区",18
"北京市","通州区",16
"北京市","房山区",14
"北京市","石景山区",13
"北京市","顺义区",10
"北京市","东城区",9
"北京市","怀柔区",7
"北京市","密云区",6
"北京市","门头沟区",3
"北京市","延庆区",1
"北京市","待明确地区",0
"黑龙江省","哈尔滨",128
"黑龙江省","双鸭山",38
"黑龙江省","绥化",37
"黑龙江省","鸡西",34
"黑龙江省","齐齐哈尔",30
"黑龙江省","佳木斯",14
"黑龙江省","七台河",14
"黑龙江省","大庆",13
"黑龙江省","牡丹江",12
"黑龙江省","鹤岗",5
"黑龙江省","黑河",4
"黑龙江省","大兴安岭",2
"上海市","外地来沪人员",97
"上海市","浦东新区",56
"上海市","宝山区",18
"上海市","静安区",16
"上海市","徐汇区",16
"上海市","闵行区",15
"上海市","松江区",14
"上海市","长宁区",11
"上海市","奉贤区",9
"上海市","普陀区",8
