"pro","city","value"
"湖北省","武汉",10117
"湖北省","孝感",1886
"湖北省","黄冈",1807
"湖北省","随州",834
"湖北省","荆州",801
"湖北省","襄阳",787
"湖北省","黄石",566
"湖北省","宜昌",563
"湖北省","荆门",508
"湖北省","鄂州",423
"湖北省","咸宁",399
"湖北省","十堰",353
"湖北省","仙桃",265
"湖北省","恩施州",144
"湖北省","天门",138
"湖北省","潜江",64
"湖北省","神农架林区",10
"广东省","深圳",291
"广东省","广州",249
"广东省","珠海",72
"广东省","佛山",50
"广东省","东莞",44
"广东省","中山",36
"广东省","惠州",34
"广东省","汕头",20
"广东省","湛江",18
"广东省","肇庆",13
"广东省","阳江",12
"广东省","梅州",10
"广东省","清远",10
"广东省","江门",7
"广东省","韶关",6
"广东省","揭阳",6
"广东省","茂名",6
"广东省","汕尾",5
"广东省","潮州",5
"广东省","河源",1
"浙江省","温州",364
"浙江省","杭州",141
"浙江省","台州",122
"浙江省","宁波",120
"浙江省","金华",44
"浙江省","绍兴",30
"浙江省","嘉兴",27
"浙江省","丽水",16
"浙江省","衢州",15
"浙江省","湖州",9
"浙江省","舟山",7
"河南省","信阳",138
"河南省","南阳",107
"河南省","郑州",92
"河南省","驻马店",82
"河南省","商丘",61
"河南省","周口",56
"河南省","新乡",39
"河南省","安阳",35
"河南省","平顶山",34
"河南省","漯河",24
"河南省","许昌",24
"河南省","洛阳",17
"河南省","开封",17
"河南省","焦作",15
"河南省","鹤壁",10
"河南省","三门峡",7
"河南省","濮阳",4
"河南省","济源",2
"湖南省","长沙",164
"湖南省","岳阳",89
"湖南省","邵阳",68
"湖南省","常德",56
"湖南省","娄底",45
"湖南省","益阳",40
"湖南省","衡阳",39
"湖南省","株洲",38
"湖南省","怀化",35
"湖南省","永州",30
"湖南省","郴州",24
"湖南省","湘潭",23
"湖南省","湘西自治州",7
"湖南省","张家界",3
"江西省","南昌",134
"江西省","九江",86
"江西省","新余",69
"江西省","上饶",69
"江西省","宜春",48
"江西省","赣州",48
"江西省","抚州",44
"江西省","萍乡",22
"江西省","吉安",15
"江西省","鹰潭",9
"江西省","景德镇",4
"安徽省","合肥",93
"安徽省","阜阳",84
"安徽省","亳州",58
"安徽省","安庆",56
"安徽省","蚌埠",48
"安徽省","六安",34
"安徽省","马鞍山",30
"安徽省","宿州",24
"安徽省","芜湖",23
"安徽省","铜陵",19
"安徽省","淮北",14
"安徽省","淮南",12
"安徽省","滁州",11
"安徽省","池州",11
"安徽省","黄山",9
"安徽省","宣城",4
"重庆市","万州区",68
"重庆市","九龙坡区",19
