"pro","city","value"
"湖北省","武汉",18454
"湖北省","孝感",2642
"湖北省","黄冈",2332
"湖北省","随州",1095
"湖北省","荆州",1075
"湖北省","襄阳",1063
"湖北省","黄石",835
"湖北省","鄂州",790
"湖北省","宜昌",772
"湖北省","荆门",656
"湖北省","咸宁",515
"湖北省","十堰",505
"湖北省","仙桃",438
"湖北省","天门",261
"湖北省","恩施州",195
"湖北省","潜江",90
"湖北省","神农架林区",10
"广东省","深圳",375
"广东省","广州",317
"广东省","珠海",86
"广东省","佛山",70
"广东省","东莞",62
"广东省","中山",58
"广东省","惠州",53
"广东省","汕头",25
"广东省","湛江",21
"广东省","江门",20
"广东省","肇庆",15
"广东省","阳江",13
"广东省","梅州",13
"广东省","茂名",11
"广东省","清远",10
"广东省","揭阳",8
"广东省","韶关",7
"广东省","汕尾",5
"广东省","潮州",5
"广东省","河源",3
"广东省","待明确地区",0
"浙江省","温州",474
"浙江省","杭州",157
"浙江省","宁波",151
"浙江省","台州",143
"浙江省","金华",53
"浙江省","绍兴",41
"浙江省","嘉兴",40
"浙江省","衢州",21
"浙江省","丽水",17
"浙江省","湖州",10
"浙江省","舟山",10
"河南省","信阳",228
"河南省","南阳",136
"河南省","郑州",132
"河南省","驻马店",126
"河南省","商丘",86
"河南省","周口",65
"河南省","平顶山",54
"河南省","新乡",48
"河南省","安阳",46
"河南省","许昌",32
"河南省","漯河",31
"河南省","洛阳",28
"河南省","焦作",28
"河南省","开封",25
"河南省","鹤壁",18
"河南省","濮阳",11
"河南省","三门峡",7
"河南省","济源",4
"河南省","待明确地区",0
"湖南省","长沙",219
"湖南省","岳阳",134
"湖南省","邵阳",91
"湖南省","常德",73
"湖南省","娄底",69
"湖南省","株洲",68
"湖南省","益阳",54
"湖南省","衡阳",45
"湖南省","永州",42
"湖南省","怀化",39
"湖南省","郴州",33
"湖南省","湘潭",32
"湖南省","湘西自治州",8
"湖南省","张家界",5
"安徽省","合肥",150
"安徽省","蚌埠",134
"安徽省","阜阳",132
"安徽省","亳州",92
"安徽省","安庆",80
"安徽省","六安",59
"安徽省","宿州",33
"安徽省","马鞍山",32
"安徽省","芜湖",31
"安徽省","铜陵",27
"安徽省","淮北",24
"安徽省","淮南",24
"安徽省","池州",15
"安徽省","滁州",12
"安徽省","黄山",9
"安徽省","宣城",6
"江西省","南昌",195
"江西省","上饶",111
"江西省","新余",110
"江西省","九江",101
"江西省","宜春",83
"江西省","赣州",72
"江西省","抚州",67
"江西省","萍乡",26
"江西省","吉安",19
"江西省","鹰潭",14
"江西省","景德镇",5
"江西省","赣江新区",1
"江苏省","南京",84
"江苏省","苏州",80
"江苏省","徐州",63
"江苏省","淮安",46
"江苏省","无锡",45
"江苏省","连云港",37
"江苏省","南通",35
"江苏省","泰州",34
"江苏省","常州",31
"江苏省","扬州",18
"江苏省","盐城",18
"江苏省","镇江",12
"江苏省","宿迁",12
"重庆市","万州区",100
"重庆市","江北区",25
"重庆市","云阳县",21
"重庆市","九龙坡区",20
"重庆市","垫江县",20
"重庆市","渝中区",20
"重庆市","忠县",19
"重庆市","合川区",18
"重庆市","开州区",18
"重庆市","长寿区",16
"重庆市","两江新区",16
"重庆市","渝北区",15
"重庆市","綦江区",15
"重庆市","奉节县",15
"重庆市","大足区",14
"重庆市","潼南区",14
"重庆市","石柱县",14
"重庆市","巫溪县",12
"重庆市","丰都县",10
"重庆市","巫山县",10
"重庆市","南岸区",9
"重庆市","璧山区",8
"重庆市","铜梁区",8
"重庆市","荣昌区",8
"重庆市","大渡口区",7
"重庆市","巴南区",5
"重庆市","永川区",5
"重庆市","江津区",4
"重庆市","梁平区",4
"重庆市","高新区",4
"重庆市","涪陵区",3
"重庆市","城口县",2
"重庆市","黔江区",2
"重庆市","沙坪坝区",2
"重庆市","彭水县",2
"重庆市","秀山县",1
"重庆市","武隆区",1
"重庆市","酉阳县",1
"重庆市","万盛经开区",1
"山东省","青岛",53
"山东省","济南",46
"山东省","临沂",44
"山东省","烟台",41
"山东省","济宁",41
"山东省","潍坊",38
"山东省","威海",37
"山东省","聊城",37
"山东省","德州",32
"山东省","泰安",32
"山东省","枣庄",23
"山东省","淄博",20
"山东省","菏泽",17
"山东省","日照",15
"山东省","滨州",11
"四川省","成都",124
"四川省","南充",34
"四川省","广安",30
"四川省","达州",30
"四川省","甘孜州",27
"四川省","巴中",22
"四川省","绵阳",21
"四川省","泸州",18
"四川省","内江",18
"四川省","德阳",16
"四川省","攀枝花",13
"四川省","遂宁",10
"四川省","凉山州",10
"四川省","自贡",9
"四川省","宜宾",9
"四川省","眉山",7
"四川省","雅安",6
"四川省","广元",6
"四川省","乐山",3
"四川省","资阳",3
"四川省","阿坝州",1
"黑龙江省","哈尔滨",146
"黑龙江省","绥化",39
"黑龙江省","双鸭山",38
"黑龙江省","鸡西",38
"黑龙江省","齐齐哈尔",32
"黑龙江省","佳木斯",15
"黑龙江省","七台河",15
"黑龙江省","大庆",14
"黑龙江省","牡丹江",12
"黑龙江省","鹤岗",5
"黑龙江省","黑河",4
"黑龙江省","大兴安岭",2
"北京市","海淀区",57
"北京市","朝阳区",56
"北京市","西城区",39
"北京市","大兴区",36
"北京市","丰台区",30
"北京市","外地来京人员",25
"北京市","昌平区",19
"北京市","通州区",17
"北京市","房山区",14
"北京市","石景山区",13
"北京市","顺义区",10
"北京市","东城区",9
"北京市","怀柔区",7
"北京市","密云区",6
