"","sigma","series"
"2007-06-06",4.97880011968899,1.01700323216066
"2007-06-07",3.92837206752878,0.765269173085491
"2007-06-08",3.26044854780817,1.02627977836795
"2007-06-11",2.94830430559291,0.874074715449954
"2007-06-12",2.82622454733853,0.831041773626466
"2007-06-13",2.51195078817205,0.934843576637216
"2007-06-14",2.50935961078481,1.26877016649007
"2007-06-15",2.31775394269077,1.11346485932904
"2007-06-18",2.42146285454867,0.832382646477233
"2007-06-19",2.28097255577248,1.07582279920924
"2007-06-20",2.82055112949997,1.44941244731115
"2007-06-21",2.42897710803616,1.09828480620221
"2007-06-22",3.10847994115069,1.56588086978461
"2007-06-25",5.89295181065711,1.58949374005694
"2007-06-26",6.43465052824881,1.07021594159271
"2007-06-27",3.01302698442611,0.818877447770123
"2007-06-28",3.7991378413957,1.47013465146899
"2007-06-29",3.89458474253928,1.23709005086227
"2007-07-02",3.31465078343494,1.01458608563883
"2007-07-03",2.96871025603624,0.928030287533623
"2007-07-04",3.35482917701042,1.24015478065339
"2007-07-05",4.33061654839104,1.49012710507874
"2007-07-06",4.39945272748271,0.621726026713734
"2007-07-09",4.19806718674115,0.806759971296665
"2007-07-10",3.83482107327304,1.24938424508402
"2007-07-11",3.50695223224796,1.09367737297215
"2007-07-12",2.91438001195784,1.00823958355105
"2007-07-13",2.53029850004873,1.05744438423207
"2007-07-16",3.49116494909525,1.4989405681368
"2007-07-17",3.18825191121552,0.803516965353748
"2007-07-18",3.01281112876284,0.963612610585712
"2007-07-19",2.96484667347379,1.02724713141882
"2007-07-20",3.08610720160839,0.362129618587044
"2007-07-23",3.25674474562587,0.335590577739146
"2007-07-24",2.94823912352179,0.947038995136419
"2007-07-25",2.86170675803594,0.763071336499943
"2007-07-26",2.82734365272045,0.909843016871006
"2007-07-27",2.63266047675559,1.0396991357403
"2007-07-30",2.59147160916577,0.827868343989113
"2007-07-31",2.39494206016203,0.93451055802817
"2007-08-01",3.15777425127292,1.58068443728001
"2007-08-02",3.03381703865499,0.659964223353766
"2007-08-03",8.55002881447072,0.322679193886803
"2007-08-06",9.00221936449561,0.607595467566755
"2007-08-07",2.95479703590739,1.05489290596325
"2007-08-08",7.74301825333707,1.42968414406008
"2007-08-09",8.05068256560329,0.816043246307143
"2007-08-10",9.20397985055168,1.31607772761816
"2007-08-13",9.00698902671585,1.1267144527408
"2007-08-14",8.52970440689687,0.915901688444306
"2007-08-15",7.1444404716605,1.08338187611019
"2007-08-16",7.35252884925044,1.39998322265746
"2007-08-17",7.74516738616935,1.42758411620723
"2007-08-20",8.48564743543652,0.408093614741611
"2007-08-21",6.59022428529267,0.842829912781618
"2007-08-22",5.73092758223814,0.952012274891448
"2007-08-23",7.41997425108837,1.00615350610078
"2007-08-24",8.16276360520826,1.08829609341744
"2007-08-27",7.84213122191032,1.16731059605147
"2007-08-28",7.61048008285839,1.18362989694853
"2007-08-29",7.68968482378022,1.3985084802832
"2007-08-30",7.3998300114341,1.07467249811945
"2007-08-31",3.61461994778567,1.03249611094572
"2007-09-03",7.05310874831158,0.927100098109107
"2007-09-04",3.04783518444473,1.16998513675291
"2007-09-05",2.53979216558372,0.991026230989838
"2007-09-06",2.29932743582334,0.88244969452248
"2007-09-07",2.39564414688709,1.02985995229071
"2007-09-10",2.33738894691183,0.795892023266069
"2007-09-11",2.44471279402046,1.15554733011257
"2007-09-12",2.36497744461926,0.724935137056168
"2007-09-13",2.43357018781442,0.762167763518644
"2007-09-14",2.70050059604729,0.846999630351355
"2007-09-17",3.21649447004572,0.786716094842781
"2007-09-18",2.77984313563448,0.937306006768155
"2007-09-19",2.58516466884187,0.935513342491333
"2007-09-20",2.42066778148617,0.769883638435614
"2007-09-21",2.34856431854999,0.865893655787644
"2007-09-24",2.24090086401254,0.777391281003795
"2007-09-25",2.44444365523472,0.863558435539073
"2007-09-26",2.25300835442033,0.792880326545958
"2007-09-27",1.92054573440525,0.6127415893324
"2007-09-28",1.95246136066818,0.571976542528543
"2007-10-08",1.87195125153774,0.661611012179574
"2007-10-09",1.85219463259628,0.75961967959441
"2007-10-10",1.78630102485684,0.731795106504596
"2007-10-11",1.71700931690527,0.696124928448352
"2007-10-12",1.64593940557165,0.70501019539814
"2007-10-15",1.57956273950257,0.64809235220732
"2007-10-16",1.49680539405129,0.660967714897186
"2007-10-17",1.47546062218568,0.660046781945596
"2007-10-18",1.70027914001483,0.601676487220686
"2007-10-19",1.63626694434484,0.535608113818845
"2007-10-22",1.69392555791461,0.435942965920378
"2007-10-23",1.65072144993658,0.466992132504652
"2007-10-24",1.65770057134731,0.511456505732445
"2007-10-25",1.86843449067206,0.340962995667151
"2007-10-26",1.83585165812222,0.516743037821
"2007-10-29",1.90415296359774,0.636498981882055
"2007-10-30",1.87996407656433,0.614239474259504
"2007-10-31",1.84506169689156,0.626436797291813
"2007-11-01",1.85586956782577,0.405812211108297
"2007-11-02",1.8841435635807,0.239505135524776
"2007-11-05",1.89116131748949,0.179152796359249
"2007-11-06",1.86244476701084,0.252055731901111
"2007-11-07",1.8250658778189,0.354145987863579
"2007-11-08",1.96447116732332,-0.120038306185127
"2007-11-09",1.93501928300478,0.18720343891431
"2007-11-12",1.9114675429832,0.0877896979502941
"2007-11-13",1.87486351114686,0.107908781322003
"2007-11-14",1.9888842322426,0.699639747970231
"2007-11-15",1.98248832206691,0.10653072263663
"2007-11-16",1.97567362960194,0.186416735028788
"2007-11-19",1.95994517670739,0.276682453402645
"2007-11-20",1.93993964808258,0.382923557195219
"2007-11-21",1.93135873231547,0.120306824567081
"2007-11-22",2.03366035681042,-0.0464245515848098
"2007-11-23",2.03758035947436,0.367461416115982
"2007-11-26",2.01975871909887,0.268122363291368
"2007-11-27",2.01200027548883,0.157999493659204
"2007-11-28",2.00692866559335,0.223925241137707
"2007-11-29",2.11832146748699,0.625583910419728
"2007-11-30",2.12841825821816,0.284749953271636
"2007-12-03",2.1135974590028,0.277103297652098
"2007-12-04",2.10079183272823,0.313358516909492
"2007-12-05",2.10687437479945,0.364564661131775
"2007-12-06",2.07192578029946,0.302185063880473
"2007-12-07",2.01445846679073,0.327467372388855
"2007-12-10",2.07122513155489,0.446434332914703
"2007-12-11",2.04549895641943,0.350523779984814
"2007-12-12",1.99005920072351,0.267785057313371
"2007-12-13",2.01759590115651,0.0598900088593572
"2007-12-14",2.07798649000511,0.272301759301227
"2007-12-17",2.09447126315082,0.248241302034593
"2007-12-18",2.0662808629057,0.201831597499289
"2007-12-19",2.07124762995612,0.14182574425808
"2007-12-20",2.06083232032978,0.173450276078089
"2007-12-21",2.03999834147541,0.197504431171199
"2007-12-24",2.03859666845281,0.190268619442437
"2007-12-25",1.96917379530068,0.18238939368486
"2007-12-26",2.02258746308782,0.290300276664057
"2007-12-27",2.02837542075328,0.286532366783982
"2007-12-28",2.02315739116793,0.218326213314389
"2008-01-02",2.00381328076145,0.200247015368127
"2008-01-03",1.97142004395025,0.203451391549737
"2008-01-04",1.96086829706177,0.246526561489582
"2008-01-07",1.95873804950528,0.258470075441509
"2008-01-08",1.94461469434871,0.232250559731886
"2008-01-09",1.89624670198611,0.279012419348199
"2008-01-10",1.86730663272034,0.270942596941011
"2008-01-11",1.82299160899497,0.265858298142488
"2008-01-14",1.64033888726244,0.370421608917063
"2008-01-15",1.55118325247992,0.385766213501654
"2008-01-16",1.9114205777993,0.196178765296551
"2008-01-17",1.91695526444538,0.0832101713773315
"2008-01-18",1.9077539576081,0.161660941399026
"2008-01-21",2.01484188856078,0.117796310346019
"2008-01-22",2.31435627379271,-0.0960750719236715
"2008-01-23",2.43798617442638,-0.000529935742616672
"2008-01-24",2.37831832367424,0.137424166425918
"2008-01-25",2.37656248946755,0.199520859716472
"2008-01-28",4.0248803505143,0.131257422366061
"2008-01-29",2.57638526276412,0.158532939076101
"2008-01-30",2.57034575492431,0.157941446991738
"2008-01-31",2.55485040584848,0.160095229152174
"2008-02-01",2.47457838200711,0.105204904294549
"2008-02-04",4.07332059922379,0.360872660206059
"2008-02-05",3.6126165044116,0.239521124393956
"2008-02-13",2.81599646731175,0.123975999950936
"2008-02-14",3.34973241606728,0.344595354161237
"2008-02-15",2.8765083947325,0.12604637212279
"2008-02-18",2.99724418728526,0.0844902521101221
"2008-02-19",2.93344891492491,0.0873691274769492
"2008-02-20",2.97177682660851,0.11065280708929
"2008-02-21",2.83617031461323,0.0727669311084989
"2008-02-22",2.89363804523529,0.075709411450277
"2008-02-25",2.9605668974785,-0.0825615349573148
"2008-02-26",2.84776325407246,-0.012527013613494
"2008-02-27",2.8329157044452,0.0510609752989367
"2008-02-28",2.77030509308194,-0.00121407385897054
"2008-02-29",2.78199857151119,0.0735214985713467
"2008-03-03",2.76920822346745,0.0899186125568325
"2008-03-04",2.82900733217775,0.0196897465639921
"2008-03-05",2.76495111658168,-0.0369330970955135
"2008-03-06",2.68602509482782,-0.0518321567963963
"2008-03-07",2.61091094841851,-0.0482385971481608
"2008-03-10",2.67284715233461,-0.113071758357876
"2008-03-11",2.60457843215328,-0.126519487928238
"2008-03-12",2.61583598649074,-0.145017640286948
"2008-03-13",2.60084898110684,-0.244123226227173
"2008-03-14",2.54957637405652,-0.240078728774013
"2008-03-17",2.67113782235931,-0.279231209302763
"2008-03-18",2.72124293072253,-0.503042616337367
"2008-03-19",2.80496275444148,-0.137816733920245
"2008-03-20",2.81040511160946,-0.0930441050744728
"2008-03-21",2.763931547889,-0.16998660574984
"2008-03-24",2.89630699186974,-0.512938785914354
"2008-03-25",2.86428331406508,-0.13880473318762
"2008-03-26",2.85296455327661,-0.217679181059071
"2008-03-27",2.89294873059732,-0.385402544206686
"2008-03-28",2.99483527466445,-0.296176601452492
"2008-03-31",2.96090672706462,-0.198026848232646
"2008-04-01",3.0807260713792,-0.176551912603231
"2008-04-02",3.0712634553875,-0.273681468671417
"2008-04-03",3.03584540245565,-0.338885868155274
"2008-04-07",3.11349459334748,-0.177255941407267
"2008-04-08",3.29357176570752,-0.106303481546124
"2008-04-09",3.75355949854476,-0.517270363575744
"2008-04-10",3.51229746143208,0.179268642741413
"2008-04-11",3.17226986062103,0.0668876350910373
"2008-04-14",4.04554798997389,-0.748011790129214
"2008-04-15",3.72986999170633,0.0911719760459891
"2008-04-16",3.52280418650527,-0.262127432789585
"2008-04-17",3.24035584689289,-0.189395632818055
"2008-04-18",3.16194559916737,-0.340620947727583
"2008-04-21",3.13023754393181,-0.319367086072931
"2008-04-22",2.78029187486741,0.0440601911511355
"2008-04-23",3.25599277683651,0.5066005932517
"2008-04-24",4.94451979592954,1.36050589218563
"2008-04-25",4.38492792197018,-0.00173732043180568
"2008-04-28",3.96881022015194,-0.237661183540155
"2008-04-29",3.63100452583362,0.362235321973938
"2008-04-30",3.82944915489721,1.06021931511945
"2008-05-05",3.44829921973817,0.40553859594619
"2008-05-06",3.1633998708842,-0.256297580411879
"2008-05-07",3.49390320165533,-1.07849155574457
"2008-05-08",3.8238427375137,0.197071933582471
"2008-05-09",3.67215286335397,-0.259746435484233
"2008-05-12",3.64728175121377,-0.109409799220546
"2008-05-13",3.49010796598749,-0.315194253049782
