x,y,value
32,1,40
32,2,17
32,3,17
32,4,10
32,5,11
32,6,26
32,7,20
32,8,13
32,9,25
32,10,10
32,11,22
32,12,19
32,13,16
32,14,20
32,15,8
32,16,10
32,17,14
32,18,10
32,19,10
32,20,26
32,21,22
32,22,24
32,23,12
32,24,21
32,25,13
32,26,18
32,27,7
32,28,15
32,29,6
32,30,14
32,31,6
33,1,68
33,2,25
33,3,33
33,4,10
33,5,14
33,6,21
33,7,26
33,8,12
33,9,29
33,10,10
33,11,25
33,12,17
33,13,15
33,14,19
33,15,8
33,16,9
33,17,13
33,18,14
33,19,11
33,20,32
33,21,14
33,22,26
33,23,16
33,24,13
33,25,12
33,26,24
33,27,11
33,28,15
33,29,10
33,30,22
33,31,9
33,32,95
34,1,55
34,2,20
34,3,35
34,4,11
34,5,14
34,6,22
34,7,19
34,8,16
34,9,22
34,10,9
34,11,13
34,12,19
34,13,25
34,14,30
34,15,12
34,16,20
34,17,13
34,18,18
34,19,17
34,20,12
34,21,19
34,22,26
34,23,18
34,24,15
34,25,13
34,26,14
34,27,7
34,28,7
34,29,7
34,30,10
34,31,6
34,32,22
34,33,20
35,1,54
35,2,20
35,3,35
35,4,11
35,5,13
35,6,21
35,7,19
35,8,16
35,9,22
35,10,9
35,11,13
35,12,19
35,13,25
35,14,30
35,15,12
35,16,20
35,17,14
35,18,18
35,19,17
35,20,12
35,21,19
35,22,26
35,23,18
35,24,15
35,25,13
35,26,13
35,27,7
35,28,6
35,29,7
35,30,9
35,31,5
35,32,22
35,33,19
35,34,116
36,1,81
36,2,38
36,3,22
36,4,9
36,5,9
36,6,12
36,7,5
36,8,9
36,9,9
36,10,40
36,11,6
36,12,12
36,13,11
36,14,12
36,15,7
36,16,11
36,17,8
36,18,8
36,19,10
36,20,37
36,21,14
36,22,50
36,23,10
36,24,12
36,25,10
36,26,10
36,27,3
36,28,5
36,29,3
36,30,9
36,31,4
36,32,14
36,33,10
36,34,17
36,35,17
37,1,35
37,2,28
37,3,24
37,4,7
37,5,6
37,6,12
37,7,9
37,8,10
37,9,10
37,10,6
37,11,7
37,12,9
37,13,12
37,14,14
37,15,5
37,16,6
37,17,8
37,18,6
37,19,7
37,20,11
37,21,6
37,22,6
37,23,36
37,24,8
37,25,7
37,26,7
37,27,3
37,28,3
37,29,3
37,30,3
37,31,3
37,32,10
37,33,7
37,34,12
37,35,12
37,36,10
38,1,54
38,2,17
38,3,25
38,4,11
38,5,24
38,6,25
38,7,41
38,8,20
38,9,52
38,10,7
38,11,13
38,12,21
38,13,13
38,14,12
38,15,11
38,16,7
38,17,15
38,18,17
38,19,8
38,20,18
38,21,20
38,22,24
38,23,18
38,24,24
38,25,11
38,26,18
38,27,11
38,28,14
38,29,10
38,30,13
38,31,9
38,32,16
38,33,19
38,34,7
38,35,7
38,36,5
38,37,8
39,1,58
39,2,19
39,3,36
39,4,9
39,5,21
39,6,30
39,7,34
39,8,22
39,9,36
39,10,10
39,11,16
39,12,32
39,13,14
39,14,14
39,15,11
39,16,11
39,17,15
39,18,22
39,19,15
39,20,15
39,21,9
39,22,19
39,23,20
39,24,20
39,25,9
39,26,18
39,27,9
39,28,15
39,29,7
39,30,13
39,31,7
39,32,16
39,33,19
39,34,20
39,35,20
39,36,7
39,37,9
39,38,44
40,1,25
40,2,12
40,3,14
40,4,5
40,5,31
40,6,15
40,7,18
40,8,15
40,9,16
40,10,4
40,11,6
40,12,7
40,13,6
40,14,6
40,15,8
40,16,5
40,17,13
40,18,11
40,19,10
40,20,5
40,21,6
40,22,6
40,23,8
40,24,4
40,25,6
40,26,7
40,27,2
40,28,5
40,29,2
40,30,4
40,31,4
40,32,5
40,33,6
40,34,5
40,35,5
40,36,4
40,37,4
40,38,16
40,39,18
41,1,21
41,2,11
41,3,15
41,4,5
41,5,32
41,6,16
41,7,20
41,8,13
41,9,19
41,10,4
41,11,6
41,12,9
41,13,7
41,14,6
41,15,8
41,16,5
41,17,13
41,18,16
41,19,10
41,20,7
41,21,5
41,22,6
41,23,8
41,24,4
41,25,6
41,26,8
41,27,3
41,28,3
41,29,3
41,30,5
41,31,2
41,32,5
41,33,7
41,34,5
41,35,5
41,36,5
41,37,4
41,38,19
41,39,18
41,40,48
42,1,25
42,2,14
42,3,11
42,4,7
42,5,17
42,6,16
42,7,22
42,8,29
42,9,13
42,10,5
42,11,7
42,12,10
42,13,7
42,14,5
42,15,11
42,16,8
42,17,11
42,18,17
42,19,11
42,20,6
42,21,7
42,22,9
42,23,9
42,24,7
42,25,8
42,26,6
42,27,3
42,28,5
42,29,3
42,30,4
42,31,3
42,32,7
42,33,7
42,34,6
42,35,6
42,36,4
42,37,4
42,38,21
42,39,18
42,40,21
42,41,21
43,1,4
43,2,1
43,3,2
43,4,0
43,5,2
43,6,3
43,7,3
43,8,6
43,9,3
43,10,0
43,11,2
43,12,1
43,13,1
43,14,1
43,15,1
43,16,0
43,17,1
43,18,1
43,19,0
43,20,1
43,21,0
43,22,2
43,23,2
43,24,0
43,25,0
43,26,0
43,27,0
43,28,0
43,29,0
43,30,0
43,31,0
43,32,0
43,33,0
43,34,1
43,35,1
43,36,0
43,37,1
43,38,6
43,39,8
43,40,5
43,41,5
43,42,8
44,1,1
44,2,1
44,3,1
44,4,0
44,5,5
44,6,3
44,7,2
44,8,2
44,9,0
44,10,1
44,11,0
44,12,0
44,13,0
44,14,0
44,15,2
44,16,1
44,17,0
44,18,0
44,19,1
44,20,0
44,21,1
44,22,0
44,23,0
44,24,1
44,25,1
44,26,0
44,27,0
44,28,0
44,29,0
44,30,0
44,31,0
44,32,1
44,33,0
44,34,1
44,35,1
44,36,1
44,37,2
44,38,4
44,39,4
44,40,7
44,41,7
44,42,4
44,43,4
45,1,25
45,2,18
45,3,17
45,4,7
45,5,25
45,6,21
45,7,13
45,8,16
45,9,10
45,10,6
45,11,7
45,12,10
45,13,7
45,14,7
45,15,10
45,16,11
45,17,10
45,18,15
45,19,16
45,20,5
45,21,10
45,22,8
45,23,9
45,24,7
45,25,6
45,26,6
45,27,4
45,28,3
45,29,4
45,30,2
45,31,3
45,32,7
45,33,6
45,34,14
45,35,14
45,36,9
45,37,10
45,38,12
45,39,18
45,40,20
45,41,20
45,42,15
45,43,4
45,44,11
46,1,42
46,2,11
46,3,30
46,4,11
46,5,4
46,6,14
46,7,5
46,8,2
46,9,12
46,10,5
46,11,3
46,12,5
46,13,7
46,14,6
46,15,2
46,16,8
46,17,2
46,18,8
46,19,6
46,20,24
46,21,6
46,22,11
46,23,2
46,24,5
46,25,3
46,26,8
46,27,2
46,28,5
46,29,2
46,30,6
46,31,3
46,32,4
46,33,4
46,34,7
46,35,7
46,36,14
46,37,7
46,38,5
46,39,7
46,40,8
46,41,7
46,42,3
46,43,1
46,44,1
46,45,6
47,1,34
47,2,11
47,3,22
47,4,6
47,5,10
47,6,12
47,7,9
47,8,6
47,9,12
47,10,6
47,11,10
47,12,12
47,13,11
47,14,11
47,15,2
47,16,5
47,17,3
47,18,8
47,19,5
47,20,21
47,21,7
47,22,14
47,23,7
47,24,8
47,25,3
47,26,13
47,27,4
47,28,7
47,29,5
47,30,7
47,31,6
47,32,9
47,33,11
47,34,11
47,35,10
47,36,7
47,37,9
47,38,11
47,39,14
47,40,6
47,41,6
47,42,5
47,43,2
47,44,1
47,45,7
47,46,24
48,1,41
48,2,18
48,3,21
48,4,10
48,5,12
48,6,25
48,7,30
48,8,18
48,9,23
48,10,7
48,11,8
48,12,15
48,13,7
48,14,7
48,15,11
48,16,7
48,17,14
48,18,10
48,19,11
48,20,14
48,21,13
48,22,18
48,23,14
48,24,18
48,25,13
48,26,15
48,27,8
48,28,12
48,29,8
48,30,10
48,31,7
48,32,18
48,33,16
48,34,12
48,35,12
48,36,7
48,37,10
48,38,26
48,39,26
48,40,15
48,41,15
48,42,19
48,43,5
48,44,5
48,45,19
48,46,6
48,47,8
49,1,34
49,2,15
49,3,21
49,4,9
49,5,12
49,6,21
49,7,27
49,8,15
49,9,21
49,10,5
49,11,6
49,12,14
49,13,7
49,14,7
49,15,11
49,16,7
49,17,13
49,18,9
49,19,12
49,20,17
49,21,12
49,22,14
49,23,12
49,24,15
49,25,12
49,26,8
49,27,5
49,28,7
49,29,5
49,30,6
49,31,4
49,32,15
49,33,15
49,34,11
49,35,11
49,36,7
49,37,8
49,38,25
49,39,25
49,40,15
49,41,15
49,42,20
49,43,5
49,44,5
49,45,17
49,46,5
49,47,10
49,48,42
50,1,65
50,2,10
50,3,23
50,4,6
50,5,13
50,6,18
50,7,30
50,8,12
50,9,39
50,10,6
50,11,10
50,12,21
50,13,11
50,14,16
50,15,6
50,16,9
50,17,10
50,18,14
50,19,14
50,20,13
50,21,18
50,22,17
50,23,12
50,24,15
50,25,6
50,26,13
50,27,11
50,28,8
50,29,12
50,30,6
50,31,10
50,32,7
50,33,6
50,34,14
50,35,14
50,36,5
50,37,5
50,38,31
50,39,24
50,40,13
50,41,14
50,42,15
50,43,5
50,44,3
50,45,14
50,46,6
50,47,9
50,48,21
50,49,15
51,1,33
51,2,14
51,3,18
51,4,9
51,5,12
51,6,14
51,7,17
51,8,8
51,9,15
51,10,5
51,11,10
51,12,14
51,13,8
51,14,8
51,15,5
51,16,6
51,17,8
51,18,11
51,19,10
51,20,33
51,21,7
51,22,13
51,23,9
51,24,13
51,25,11
51,26,15
51,27,4
51,28,11
51,29,4
51,30,9
51,31,3
51,32,24
51,33,29
51,34,11
51,35,11
51,36,6
51,37,8
51,38,21
51,39,23
51,40,10
51,41,11
51,42,13
51,43,4
51,44,3
51,45,10
51,46,6
51,47,18
51,48,20
51,49,29
51,50,15
52,1,36
52,2,9
52,3,22
52,4,12
52,5,14
52,6,11
52,7,12
52,8,15
52,9,16
52,10,6
52,11,8
52,12,14
52,13,13
52,14,13
52,15,3
52,16,4
52,17,4
52,18,10
52,19,6
52,20,17
52,21,12
52,22,18
52,23,7
52,24,7
52,25,5
52,26,15
52,27,6
52,28,7
52,29,5
52,30,6
52,31,4
52,32,9
52,33,8
52,34,12
52,35,12
52,36,7
52,37,8
52,38,9
52,39,13
52,40,5
52,41,6
52,42,9
52,43,2
52,44,1
52,45,8
52,46,8
52,47,15
52,48,9
52,49,6
52,50,11
52,51,12
53,1,14
53,2,6
53,3,12
53,4,6
53,5,8
53,6,9
53,7,8
53,8,5
53,9,9
53,10,4
53,11,9
53,12,9
53,13,11
53,14,11
53,15,2
53,16,4
53,17,3
53,18,6
53,19,5
53,20,11
53,21,7
53,22,10
53,23,6
53,24,6
53,25,2
53,26,11
53,27,5
53,28,6
53,29,6
53,30,6
53,31,6
53,32,5
53,33,6
53,34,7
53,35,6
53,36,5
53,37,9
53,38,11
53,39,10
53,40,4
53,41,5
53,42,4
53,43,2
53,44,1
53,45,7
53,46,10
53,47,16
53,48,8
53,49,4
53,50,9
53,51,9
53,52,13
54,1,54
54,2,10
54,3,30
54,4,15
54,5,16
54,6,29
54,7,29
54,8,14
54,9,48
54,10,12
54,11,11
54,12,18
54,13,9
54,14,9
54,15,8
54,16,8
54,17,8
54,18,11
54,19,10
54,20,21
54,21,20
54,22,23
54,23,10
54,24,18
54,25,11
54,26,22
54,27,10
54,28,14
54,29,10
54,30,13
54,31,10
54,32,14
54,33,11
54,34,16
54,35,16
54,36,8
54,37,10
54,38,22
54,39,18
54,40,13
54,41,13
54,42,12
54,43,2
54,44,2
54,45,11
54,46,15
54,47,13
54,48,25
54,49,22
54,50,23
54,51,12
54,52,9
54,53,8
55,1,52
55,2,10
55,3,30
55,4,15
55,5,16
55,6,28
55,7,28
55,8,14
55,9,48
55,10,12
55,11,11
55,12,18
55,13,9
55,14,9
55,15,7
55,16,8
55,17,8
55,18,11
55,19,10
55,20,20
55,21,20
55,22,23
55,23,10
55,24,18
55,25,11
55,26,22
55,27,10
55,28,14
55,29,10
55,30,13
55,31,10
55,32,14
55,33,11
55,34,17
55,35,17
55,36,8
55,37,10
55,38,22
55,39,18
55,40,13
55,41,13
55,42,12
55,43,2
55,44,2
55,45,11
55,46,15
55,47,13
55,48,24
55,49,20
55,50,23
55,51,12
55,52,9
55,53,8
55,54,74
56,1,30
56,2,5
56,3,15
56,4,5
56,5,4
56,6,7
56,7,5
56,8,2
56,9,6
56,10,3
56,11,3
56,12,6
56,13,9
56,14,10
56,15,5
56,16,12
56,17,4
56,18,9
56,19,7
56,20,8
56,21,5
56,22,10
56,23,6
56,24,4
56,25,2
56,26,2
56,27,1
56,28,3
56,29,1
56,30,16
56,31,1
56,32,4
56,33,7
56,34,9
56,35,9
56,36,3
56,37,6
56,38,4
56,39,5
56,40,4
56,41,5
56,42,4
56,43,2
56,44,1
56,45,5
56,46,10
56,47,7
56,48,3
56,49,3
56,50,4
56,51,4
56,52,8
56,53,7
56,54,3
56,55,3
57,1,14
57,2,5
57,3,6
57,4,7
57,5,2
57,6,6
57,7,3
57,8,2
57,9,3
57,10,2
57,11,2
57,12,4
57,13,7
57,14,5
57,15,3
57,16,6
57,17,3
57,18,5
57,19,5
57,20,3
57,21,4
57,22,5
57,23,2
57,24,2
57,25,2
57,26,2
57,27,1
57,28,2
57,29,1
57,30,2
57,31,1
57,32,4
57,33,4
57,34,5
57,35,5
57,36,3
57,37,4
57,38,3
57,39,4
57,40,3
57,41,3
57,42,3
57,43,1
57,44,1
57,45,5
57,46,11
57,47,6
57,48,3
57,49,3
57,50,3
57,51,3
57,52,7
57,53,6
57,54,3
57,55,3
57,56,12
58,1,30
58,2,6
58,3,17
58,4,5
58,5,6
58,6,9
58,7,13
58,8,6
58,9,13
58,10,2
58,11,6
58,12,9
58,13,13
58,14,14
58,15,3
58,16,8
58,17,4
58,18,9
58,19,6
58,20,6
58,21,9
58,22,14
58,23,7
58,24,5
58,25,5
58,26,4
58,27,4
58,28,0
58,29,4
58,30,1
58,31,2
58,32,3
58,33,4
58,34,11
58,35,11
58,36,3
58,37,3
58,38,12
58,39,11
58,40,5
58,41,6
58,42,6
58,43,2
58,44,1
58,45,9
58,46,4
58,47,7
58,48,9
58,49,7
58,50,20
58,51,5
58,52,9
58,53,7
58,54,7
58,55,7
58,56,5
58,57,3
59,1,53
59,2,11
59,3,21
59,4,9
59,5,10
59,6,20
59,7,15
59,8,13
59,9,16
59,10,4
59,11,12
59,12,15
59,13,16
59,14,15
59,15,5
59,16,11
59,17,4
59,18,10
59,19,8
59,20,9
59,21,13
59,22,24
59,23,8
59,24,9
59,25,8
59,26,9
59,27,4
59,28,3
59,29,4
59,30,7
59,31,2
59,32,9
59,33,12
59,34,18
59,35,18
59,36,5
59,37,5
59,38,15
59,39,18
59,40,7
59,41,9
59,42,10
59,43,4
59,44,1
59,45,10
59,46,6
59,47,9
59,48,12
59,49,12
59,50,18
59,51,14
59,52,13
59,53,8
59,54,11
59,55,11
59,56,5
59,57,4
59,58,25
60,1,34
60,2,11
60,3,21
60,4,2
60,5,12
60,6,9
60,7,8
60,8,4
60,9,11
60,10,1
60,11,5
60,12,12
60,13,18
60,14,15
60,15,5
60,16,6
60,17,7
60,18,8
60,19,8
60,20,9
60,21,12
60,22,50
60,23,10
60,24,6
60,25,2
60,26,10
60,27,3
60,28,1
60,29,3
60,30,3
60,31,0
60,32,8
60,33,10
60,34,8
60,35,8
60,36,3
60,37,4
60,38,8
60,39,10
60,40,5
60,41,6
60,42,6
60,43,2
60,44,1
60,45,8
60,46,5
60,47,7
60,48,7
60,49,6
60,50,9
60,51,7
60,52,13
60,53,7
60,54,6
60,55,6
60,56,6
60,57,5
60,58,9
60,59,10
61,1,46
61,2,10
61,3,22
61,4,15
61,5,11
61,6,14
61,7,13
61,8,7
61,9,14
61,10,4
61,11,8
61,12,18
61,13,21
61,14,21
61,15,4
61,16,12
61,17,8
61,18,10
61,19,10
61,20,13
61,21,9
61,22,40
61,23,11
61,24,6
61,25,8
61,26,12
61,27,6
61,28,3
61,29,6
61,30,5
61,31,4
61,32,7
61,33,9
61,34,16
61,35,16
61,36,8
61,37,12
61,38,9
61,39,12
61,40,6
61,41,7
61,42,5
61,43,2
61,44,1
61,45,13
61,46,6
61,47,12
61,48,7
61,49,6
61,50,13
61,51,10
61,52,18
61,53,13
61,54,10
61,55,10
61,56,8
61,57,7
61,58,14
61,59,19
61,60,22
62,1,25
62,2,9
62,3,15
62,4,7
62,5,9
62,6,9
62,7,12
62,8,17
62,9,18
62,10,5
62,11,9
62,12,13
62,13,15
62,14,18
62,15,4
62,16,3
62,17,11
62,18,9
62,19,8
62,20,6
62,21,9
62,22,10
62,23,12
62,24,9
62,25,9
62,26,8
62,27,4
62,28,4
62,29,4
62,30,3
62,31,2
62,32,7
62,33,7
62,34,14
62,35,14
62,36,5
